date,Ano,CantidadUnidades,ValorMilespesos,Toneladas,percent,value
2010-Antioquia,24120,58634229,625381956,58634,625381956,625381956
2010-Bogota,24120,29490208,259426300,29491,259426300,259426300
2010-Caldas,24120,65825215,705101415,65825,705101415,705101415
2010-Cauca,24120,20970847,194257055,20971,194257055,194257055
2010-Huila,24120,74129751,647392633,74133,647392633,647392633
2010-Quindio,24120,21722742,192656129,21722,192656129,192656129
2010-Risaralda,24120,86585834,760790490,86587,760790490,760790490
2010-Santander,24120,15723596,135042998,15722,135042998,135042998
2010-Tolima,24120,18754752,185509285,18755,185509285,185509285
2010-VC,24120,24216517,228093448,24217,228093448,228093448
2011-Antioquia,24132,69288593,918192599,69289,918192599,918192599
2011-Bogota,24132,42607019,473669529,42607,473669529,473669529
2011-Caldas,24132,63491258,855549817,63492,855549817,855549817
2011-Cauca,24132,16441679,201163517,16443,201163517,201163517
2011-Huila,24132,80924723,919720710,80924,919720710,919720710
2011-Quindio,24132,28322538,316043117,28321,316043117,316043117
2011-Risaralda,24132,81576720,873454333,81575,873454333,873454333
2011-Santander,24132,19202496,213607000,19204,213607000,213607000
2011-Tolima,24132,18861575,233707144,18862,233707144,233707144
2011-VC,24132,19634321,230973302,19634,230973302,230973302
2012-Antioquia,24144,51928037,612648747,51927,612648747,612648747
2012-Bogota,24144,28782507,258093040,28783,258093040,258093040
2012-Caldas,24144,72920574,773304761,72922,773304761,773304761
2012-Cauca,24144,12452032,113168941,12452,113168941,113168941
2012-Huila,24144,67886171,601263426,67887,601263426,601263426
2012-Quindio,24144,34971122,304567069,34971,304567069,304567069
2012-Risaralda,24144,71005064,601478964,71006,601478964,601478964
2012-Santander,24144,14515053,126284241,14515,126284241,126284241
2012-Tolima,24144,31850421,302554212,31849,302554212,302554212
2012-VC,24144,15496250,146773296,15496,146773296,146773296
2013-Antioquia,24156,82930098,694036000,82932,694036000,694036000
2013-Bogota,24156,45518186,303391634,45517,303391634,303391634
2013-Caldas,24156,92205898,771285462,92206,771285462,771285462
2013-Cauca,24156,26211236,173591456,26211,173591456,173591456
2013-Huila,24156,95911501,635799239,95912,635799239,635799239
2013-Quindio,24156,57767570,367159158,57767,367159158,367159158
2013-Risaralda,24156,80383186,510610903,80383,510610903,510610903
2013-Santander,24156,18514460,116333293,18514,116333293,116333293
2013-Tolima,24156,26050525,214087806,26049,214087806,214087806
2013-VC,24156,21733193,150378182,21734,150378182,150378182
2014-Antioquia,24168,73086899,728100672,73086,728100672,728100672
2014-Bogota,24168,50983745,417864560,50983,417864560,417864560
2014-Caldas,24168,105139767,1017617594,105140,1017617594,1017617594
2014-Cauca,24168,26517900,216544456,26519,216544456,216544456
2014-Huila,24168,103935269,859497331,103936,859497331,859497331
2014-Quindio,24168,65755873,520977060,65755,520977060,520977060
2014-Risaralda,24168,112429661,867789832,112429,867789832,867789832
2014-Santander,24168,16745839,128307934,16746,128307934,128307934
2014-Tolima,24168,36134109,308638889,36135,308638889,308638889
2014-VC,24168,27686272,260975501,27688,260975501,260975501
2015-Antioquia,24180,118909493,1351348615,118911,1351348615,1351348615
2015-Bogota,24180,46992773,471810469,46992,471810469,471810469
2015-Caldas,24180,104290422,1264033680,104289,1264033680,1264033680
2015-Cauca,24180,29197080,298122677,29198,298122677,298122677
2015-Huila,24180,127384134,1232239044,127383,1232239044,1232239044
2015-Quindio,24180,79448526,768119617,79449,768119617,768119617
2015-Risaralda,24180,118448716,1103949504,118448,1103949504,1103949504
2015-Santander,24180,27208662,258985433,27209,258985433,258985433
2015-Tolima,24180,34221682,399731995,34222,399731995,399731995
2015-VC,24180,30167847,312828992,30170,312828992,312828992
2016-Antioquia,24192,120363913,1354267051,120364,1354267051,1354267051
2016-Bogota,24192,47241962,487236084,47242,487236084,487236084
2016-Caldas,24192,111417864,1383401997,111417,1383401997,1383401997
2016-Cauca,24192,33527447,349120496,33528,349120496,349120496
2016-Huila,24192,120146708,1210072777,120147,1210072777,1210072777
2016-Quindio,24192,77312760,785377484,77313,785377484,785377484
2016-Risaralda,24192,111230865,1074265229,111230,1074265229,1074265229
2016-Santander,24192,38224472,368018412,38226,368018412,368018412
2016-Tolima,24192,37472218,450610242,37472,450610242,450610242
2016-VC,24192,36971830,388378993,36972,388378993,388378993
2017-Antioquia,24204,113456430,1347833555,113455,1347833555,1347833555
2017-Bogota,24204,21647302,263668155,21648,263668155,263668155
2017-Caldas,24204,151521778,1832501969,151522,1832501969,1832501969
2017-Cauca,24204,26901781,291453362,26900,291453362,291453362
2017-Huila,24204,116121011,1195248765,116123,1195248765,1195248765
2017-Quindio,24204,67402658,713982063,67403,713982063,713982063
2017-Risaralda,24204,86565836,874334848,86567,874334848,874334848
2017-Santander,24204,40529647,415243046,40531,415243046,415243046
2017-Tolima,24204,30711763,378503329,30712,378503329,378503329
2017-VC,24204,41699774,465264263,41700,465264263,465264263
2018-Antioquia,10090,51405051,547341682,51405,547341682,547341682
2018-Bogota,10090,5371431,59883773,5371,59883773,59883773
2018-Caldas,10090,76027887,809722242,76029,809722242,809722242
2018-Cauca,10090,13186142,124694261,13187,124694261,124694261
2018-Huila,10090,45532736,423626527,45533,423626527,423626527
2018-Quindio,10090,31648816,298009172,31649,298009172,298009172
2018-Risaralda,10090,32040534,287808589,32039,287808589,287808589
2018-Santander,10090,17499648,162512889,17500,162512889,162512889
2018-Tolima,10090,11810120,131995364,11810,131995364,131995364
2018-VC,10090,17306203,174697995,17306,174697995,174697995
